movieId,movielens_rating,movielens_rating_count
1,3.897,68997
2,3.276,28904
3,3.139,13134
4,2.845,2806
5,3.06,13154
6,3.868,29490
7,3.364,13585
8,3.116,1510
9,2.988,4154
10,3.428,32474
11,3.657,19127
12,2.649,4258
13,3.354,2107
14,3.428,6116
15,2.731,3099
16,3.838,22298
17,3.945,22251
18,3.403,6191
19,2.664,24849
20,2.871,4306
21,3.565,24829
22,3.316,10317
23,3.15,4717
24,3.186,8293
25,3.676,22525
26,3.608,2802
27,3.413,1802
28,4.041,3310
29,3.93,9413
30,3.63,1300
31,3.241,10223
32,3.91,55275
33,3.015,67
34,3.587,35969
35,3.485,1497
36,3.921,21759
37,2.982,85
38,2.919,750
39,3.429,30616
40,3.628,880
41,3.836,4760
42,3.044,2568
43,3.458,2572
44,2.669,12261
45,3.379,9306
46,3.268,3179
47,4.087,63298
48,2.99,15667
49,3.529,263
50,4.265,67750
51,2.6,30
52,3.527,9518
53,3.679,159
54,2.816,1057
55,3.228,944
56,1.959,74
57,3.313,2451
58,3.968,11659
59,3.57,194
60,3.091,6708
61,3.311,2327
62,3.712,20596
63,3.104,2696
64,2.827,2076
65,2.373,5248
66,2.134,2415
67,3.318,179
68,3.429,1241
69,3.551,5039
70,3.343,16824
71,2.342,1341
72,3.479,1378
73,3.797,2982
74,3.29,3565
75,2.43,590
76,3.027,3609
77,3.425,221
78,3.174,1258
79,3.122,5614
80,3.739,595
81,3.253,3311
82,4.01,2555
83,3.641,589
84,3.377,158
85,3.523,2703
86,3.479,4374
87,2.381,1076
88,3.109,5419
89,3.127,3451
90,3.344,218
92,2.841,2360
93,2.498,2130
94,3.525,4186
95,3.077,23156
96,3.679,487
97,4.005,3509
98,2.614,92
99,3.089,732
100,3.218,4154
101,3.751,5211
102,2.404,2025
103,3.252,1154
104,3.398,22963
105,3.335,10131
106,3.423,137
107,3.222,6782
108,3.089,123
109,2.062,16
110,3.989,69482
111,4.077,36647
112,3.405,12308
113,3.105,1099
114,3.631,248
115,3.51,50
116,3.903,967
117,3.587,1261
118,2.996,1132
119,2.782,259
120,2.884,155
121,3.734,846
122,2.856,3958
123,4.004,3534
124,3.483,330
